22, 6161, 37, 49855555, 2
22, 6161, 13, 37087897, 9
22, 6161, 9, 14669231, 2
22, 6161, 1, 10732131, 3
22, 6161, 1, 89981, 2
22, 6161, 1, 17099411, 3
22, 6161, 1, 62769168, 2
22, 6161, 1, 3226531, 1
22, 6161, 1, 24165040, 7
22, 6161, 1, 21698978, 9
22, 6161, 1, 218827, 9
22, 6161, 1, 1691093, 2
22, 6161, 1, 60311, 1
22, 6161, 1, 2392146, 1
22, 6161, 1, 26623979, 1
22, 6161, 6, 13401237, 4
22, 6161, 1, 63141, 13
22, 6161, 1, 826179, 28
22, 6161, 16, 1284, 6
22, 6161, 20, 123, 699
22, 6161, 27, 146, 83
22, 6161, 13, 101, 1363
22, 6161, 7, 101, 1041
22, 6161, 4, 101, 701
22, 6161, 8, 176, 96
22, 6161, 2, 101, 662
22, 6161, 3, 101, 1054
22, 6161, 5, 173, 33
22, 6161, 15, 690, 4
22, 6161, 11, 167, 13
22, 6161, 25, 167, 4
22, 6161, 89, 1202, 1
14, 14107, 80, 49855703, 301
14, 14107, 9, 14669231, 17
14, 14107, 1, 17099411, 1
14, 14107, 1, 3226531, 2
14, 14107, 1, 24165040, 2
14, 14107, 1, 21698978, 4
14, 14107, 1, 218827, 2
14, 14107, 1, 1691093, 2
14, 14107, 1, 2392146, 7
14, 14107, 1, 95036, 1
14, 14107, 1, 20022908, 3
14, 14107, 1, 63141, 4
14, 14107, 1, 826179, 2
14, 14107, 30, 11086, 30
14, 14107, 35, 1750, 5
14, 14107, 33, 1467, 1
14, 14107, 16, 1284, 4
14, 14107, 20, 123, 24
14, 14107, 27, 146, 5
14, 14107, 13, 101, 105
14, 14107, 7, 101, 1419
14, 14107, 4, 101, 562
14, 14107, 21, 1374, 26
14, 14107, 8, 176, 12
14, 14107, 2, 101, 946
14, 14107, 169, 11459, 1
14, 14107, 6, 284, 3
14, 14107, 3, 101, 1204
14, 14107, 5, 173, 333
14, 14107, 15, 690, 5
14, 14107, 11, 167, 471
14, 14107, 25, 167, 333
